,glom_seq_names,glom_seq_ids
0,DP1m,44
1,VM5d,26
2,VA3,51
3,VA1v,43
4,DL5,37
5,DC2,15
6,VM7d,39
7,DA2,18
8,D,10
9,VM4,1
10,VM3,23
11,VM2,32
12,VM1,12
13,VL1,28
14,VC4,11
15,VC2,33
16,VC1,25
17,VA7m,35
18,VA7l,48
19,VA4,4
20,VA2,47
21,DA4m,46
22,V,8
23,VM7v,5
24,DL4,40
25,DA4l,41
26,DM5,16
27,DM4,38
28,DC4,49
29,DM3,34
30,DL2d,13
31,DM2,22
32,DM1,30
33,DA3,2
34,DP1l,50
35,DL3,24
36,DL2v,42
37,DC3,17
38,DL1,20
39,VL2p,52
40,DC1,29
41,VC3,55
42,VA6,3
43,VA5,6
44,DA1,0
45,VA1d,9
46,DM6,19
47,VL2a,53
48,VM5v,14
